Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-04-29 10:20:54,FALSE,Hillingdon Cycling,"78,52",1.628,02:39:43,140,180,"3,4",--,--,"29,5","62,2",398,344,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"15,0",0:00,No,08:09.78,16,"22,0",29,17,40,02:39:08,03:03:51,18,225
Cycling,2023-04-28 17:46:40,FALSE,Wandsworth Cycling,"14,66",306,00:39:50,116,142,"1,8",--,--,"22,1","45,5",92,55,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"20,0",0:00,No,12:58.77,3,"24,0",--,--,--,00:39:41,01:04:57,1,39
Cycling,2023-04-28 14:40:07,FALSE,Hammersmith and Fulham Cycling,"34,36",591,01:17:10,119,153,"2,1",--,--,"26,7","59,7",301,281,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"20,0",0:00,No,10:24.95,7,"27,0",--,--,--,01:16:58,01:31:40,9,64
Strength Training,2023-04-27 12:10:05,FALSE,Strength,"0,00",119,00:30:22,88,117,"0,3",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,9,1,0:00,"27,0",0:00,No,30:22.29,1,"28,0",--,--,--,00:30:22,00:30:22,--,--
Pool Swimming,2023-04-26 17:56:30,FALSE,Pool Swimming,3.400,686,01:05:41,105,128,"0,9",--,--,1:22,1:01,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1362,31,30,0,--,0:00,"0,0",0:00,No,00:01.33,58,"0,0",--,--,--,00:46:10,01:12:32,--,--
Elliptical,2023-04-25 17:54:46,FALSE,Elliptical,"0,00",394,00:34:49,145,195,"3,3",111,209,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"27,0",0:00,No,34:48.78,1,"31,0",--,--,--,00:00:00,00:34:49,--,--
Strength Training,2023-04-25 12:11:54,FALSE,Strength,"0,00",152,00:27:35,102,127,"0,5",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,4,1,0:00,"28,0",0:00,No,27:34.82,1,"31,0",--,--,--,00:27:35,00:27:35,--,--
Strength Training,2023-04-25 07:38:58,FALSE,Strength,"0,00",40,00:13:13,78,99,"0,1",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,4,1,0:00,"28,0",0:00,No,13:12.79,1,"30,0",--,--,--,00:13:13,00:13:13,--,--
Running,2023-04-23 19:23:26,FALSE,Brent Running,"2,32",156,00:11:47,153,167,"2,4",172,186,5:05,4:10,14,14,"1,14","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"14,0",0:00,No,01:36.19,3,"22,0",--,--,--,00:11:46,00:11:47,38,46
Pool Swimming,2023-04-23 10:52:05,FALSE,Pool Swimming,5.750,1.151,01:44:20,140,169,"3,3",--,--,1:26,0:53,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",2415,32,29,0,--,0:00,"0,0",0:00,No,00:07.24,58,"0,0",--,--,--,01:22:24,01:49:17,--,--
Running,2023-04-21 19:11:49,FALSE,Brent Running,"1,20",77,"00:05:41,1",137,156,"2,0",169,184,4:43,4:29,6,5,"1,25","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,0,--,0:00,"17,0",0:00,No,00:57.01,2,"22,0",--,--,--,00:05:41,"00:06:45,1",40,47
Pool Swimming,2023-04-21 16:53:35,FALSE,Pool Swimming,2.500,485,01:08:05,115,160,"2,1",--,--,1:30,0:57,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",909,32,26,0,--,0:00,"0,0",0:00,No,00:16.50,32,"0,0",--,--,--,00:38:27,01:10:22,--,--
Strength Training,2023-04-21 12:47:03,FALSE,Strength,"0,00",105,00:22:58,93,121,"0,3",--,--,--,--,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",--,0,0,6,1,0:00,"22,0",0:00,No,22:57.71,1,"24,0",--,--,--,00:22:58,00:22:58,--,--
Pool Swimming,2023-04-19 18:03:23,FALSE,Pool Swimming,4.500,879,01:34:43,130,168,"2,7",--,--,1:28,1:06,--,--,"0,00","0,0","0,0",0,--,"0,0",0,0,"0,0","0,0",1701,32,27,0,--,0:00,"0,0",0:00,No,00:10.03,78,"0,0",--,--,--,01:06:47,01:35:43,--,--
